"Laps","Time","Cumulative Time","Distance","Avg Speed","Avg HR","Max HR","Elev Gain","Elev Loss","Calories","Avg Temperature","Max Speed","Moving Time","Avg Moving Speed"
"1","1:11:42","1:11:42","1.37","1.1","96","115","7","17","288","93.2","19.6","32:24","2.5"
"2","0:01.1","1:11:43","0.00","3.4","98","98","0","0","0","102.2","3.0","0:01","3.6"
"3","0:00.9","1:11:44","0.00","3.3","98","98","0","0","0","102.2","3.0","0:00.9","3.3"
"4","0:00.8","1:11:44","0.00","2.8","97","97","0","0","0","102.2","3.0","0:00.8","2.8"
"5","0:01.5","1:11:46","0.00","1.6","98","98","0","0","0","102.2","2.9","0:01","2.5"
"6","0:00.9","1:11:47","0.00","2.4","97","97","0","0","0","102.2","2.8","0:00.9","2.4"
"7","0:07.0","1:11:54","0.00","2.0","97","97","0","0","0","102.2","2.7","0:07.0","2.0"
"8","0:01.7","1:11:56","0.00","2.4","97","97","0","0","0","102.2","2.2","0:01.7","2.4"
"9","24:46","1:36:42","0.60","1.4","100","117","11","0","102","98.6","3.5","13:56","2.6"
"Summary","1:36:42","1:36:42","1.98","1.2","97","117","19","17","390","94.6","19.6","46:33","2.5"